qid,run_a,run_b,k,overlap_at_k,jaccard_at_k
Q007,baseline_debug_depth2_nodes800,stable_no_level,20,0.8,0.8888888888888888
Q008,baseline_debug_depth2_nodes800,stable_no_level,20,0.95,1.0
Q009,baseline_debug_depth2_nodes800,stable_no_level,20,0.85,0.8947368421052632
Q010,baseline_debug_depth2_nodes800,stable_no_level,20,0.95,1.0
Q001,baseline_debug_depth2_nodes800,stable_no_links,20,0.9,1.0
Q002,baseline_debug_depth2_nodes800,stable_no_links,20,0.9,1.0
Q003,baseline_debug_depth2_nodes800,stable_no_links,20,0.95,1.0
Q004,baseline_debug_depth2_nodes800,stable_no_links,20,1.0,1.0
Q005,baseline_debug_depth2_nodes800,stable_no_links,20,1.0,1.0
Q006,baseline_debug_depth2_nodes800,stable_no_links,20,1.0,1.0
Q007,baseline_debug_depth2_nodes800,stable_no_links,20,0.85,1.0
Q008,baseline_debug_depth2_nodes800,stable_no_links,20,0.95,1.0
Q009,baseline_debug_depth2_nodes800,stable_no_links,20,0.9,1.0
Q010,baseline_debug_depth2_nodes800,stable_no_links,20,0.95,1.0
Q001,baseline_debug_depth2_nodes800,stable_no_type,20,0.65,0.5652173913043478
Q002,baseline_debug_depth2_nodes800,stable_no_type,20,0.75,0.7142857142857143
Q003,baseline_debug_depth2_nodes800,stable_no_type,20,0.8,0.7272727272727273
Q004,baseline_debug_depth2_nodes800,stable_no_type,20,1.0,1.0
Q005,baseline_debug_depth2_nodes800,stable_no_type,20,0.9,0.8181818181818182
Q006,baseline_debug_depth2_nodes800,stable_no_type,20,0.95,0.9047619047619048
Q007,baseline_debug_depth2_nodes800,stable_no_type,20,0.8,0.8888888888888888
Q008,baseline_debug_depth2_nodes800,stable_no_type,20,0.75,0.6521739130434783
Q009,baseline_debug_depth2_nodes800,stable_no_type,20,0.8,0.8
Q010,baseline_debug_depth2_nodes800,stable_no_type,20,0.8,0.7272727272727273
Q001,baseline_debug_depth2_nodes800,stable_tau_child_high,20,0.9,1.0
Q002,baseline_debug_depth2_nodes800,stable_tau_child_high,20,0.9,1.0
Q003,baseline_debug_depth2_nodes800,stable_tau_child_high,20,0.95,1.0
Q004,baseline_debug_depth2_nodes800,stable_tau_child_high,20,0.55,0.3793103448275862
Q005,baseline_debug_depth2_nodes800,stable_tau_child_high,20,0.55,0.3793103448275862
Q006,baseline_debug_depth2_nodes800,stable_tau_child_high,20,1.0,1.0
Q007,baseline_debug_depth2_nodes800,stable_tau_child_high,20,0.85,1.0
Q008,baseline_debug_depth2_nodes800,stable_tau_child_high,20,0.95,1.0
Q009,baseline_debug_depth2_nodes800,stable_tau_child_high,20,0.9,1.0
Q010,baseline_debug_depth2_nodes800,stable_tau_child_high,20,0.95,1.0
Q001,baseline_debug_depth2_nodes800,stable_tau_child_low,20,0.9,1.0
Q002,baseline_debug_depth2_nodes800,stable_tau_child_low,20,0.9,1.0
Q003,baseline_debug_depth2_nodes800,stable_tau_child_low,20,0.95,1.0
Q004,baseline_debug_depth2_nodes800,stable_tau_child_low,20,1.0,1.0
Q005,baseline_debug_depth2_nodes800,stable_tau_child_low,20,1.0,1.0
Q006,baseline_debug_depth2_nodes800,stable_tau_child_low,20,1.0,1.0
Q007,baseline_debug_depth2_nodes800,stable_tau_child_low,20,0.85,1.0
Q008,baseline_debug_depth2_nodes800,stable_tau_child_low,20,0.95,1.0
Q009,baseline_debug_depth2_nodes800,stable_tau_child_low,20,0.9,1.0
Q010,baseline_debug_depth2_nodes800,stable_tau_child_low,20,0.95,1.0
Q001,baseline_debug_depth2_nodes800,stable_tau_local_high,20,0.85,0.8947368421052632
Q002,baseline_debug_depth2_nodes800,stable_tau_local_high,20,0.9,1.0
Q003,baseline_debug_depth2_nodes800,stable_tau_local_high,20,0.95,1.0
Q004,baseline_debug_depth2_nodes800,stable_tau_local_high,20,0.25,0.25
Q005,baseline_debug_depth2_nodes800,stable_tau_local_high,20,0.95,0.9047619047619048
Q006,baseline_debug_depth2_nodes800,stable_tau_local_high,20,0.75,0.6818181818181818
Q007,baseline_debug_depth2_nodes800,stable_tau_local_high,20,0.85,1.0
Q008,baseline_debug_depth2_nodes800,stable_tau_local_high,20,0.95,1.0
Q009,baseline_debug_depth2_nodes800,stable_tau_local_high,20,0.9,1.0
Q010,baseline_debug_depth2_nodes800,stable_tau_local_high,20,0.95,1.0
Q001,baseline_debug_depth2_nodes800,stable_tau_local_low,20,0.9,1.0
Q002,baseline_debug_depth2_nodes800,stable_tau_local_low,20,0.9,1.0
Q003,baseline_debug_depth2_nodes800,stable_tau_local_low,20,0.95,1.0
Q004,baseline_debug_depth2_nodes800,stable_tau_local_low,20,1.0,1.0
Q005,baseline_debug_depth2_nodes800,stable_tau_local_low,20,0.8,0.6956521739130435
Q006,baseline_debug_depth2_nodes800,stable_tau_local_low,20,1.0,1.0
Q007,baseline_debug_depth2_nodes800,stable_tau_local_low,20,0.85,1.0
Q008,baseline_debug_depth2_nodes800,stable_tau_local_low,20,0.95,1.0
Q009,baseline_debug_depth2_nodes800,stable_tau_local_low,20,0.9,1.0
Q010,baseline_debug_depth2_nodes800,stable_tau_local_low,20,0.95,1.0
Q001,baseline_debug_depth2_nodes800,stable_text_only,20,0.5,0.38461538461538464
Q002,baseline_debug_depth2_nodes800,stable_text_only,20,0.55,0.4074074074074074
Q003,baseline_debug_depth2_nodes800,stable_text_only,20,0.5,0.3448275862068966
Q004,baseline_debug_depth2_nodes800,stable_text_only,20,0.75,0.6
Q005,baseline_debug_depth2_nodes800,stable_text_only,20,0.8,0.6666666666666666
Q006,baseline_debug_depth2_nodes800,stable_text_only,20,0.65,0.48148148148148145
Q007,baseline_debug_depth2_nodes800,stable_text_only,20,0.7,0.7
Q008,baseline_debug_depth2_nodes800,stable_text_only,20,0.75,0.6521739130434783
Q009,baseline_debug_depth2_nodes800,stable_text_only,20,0.75,0.7142857142857143
Q010,baseline_debug_depth2_nodes800,stable_text_only,20,0.6,0.46153846153846156
Q001,baseline_debug_depth2_nodes800,stable_type_high,20,0.9,1.0
Q002,baseline_debug_depth2_nodes800,stable_type_high,20,0.9,1.0
Q003,baseline_debug_depth2_nodes800,stable_type_high,20,0.9,0.9
Q004,baseline_debug_depth2_nodes800,stable_type_high,20,1.0,1.0
Q005,baseline_debug_depth2_nodes800,stable_type_high,20,0.95,0.9047619047619048
Q006,baseline_debug_depth2_nodes800,stable_type_high,20,0.9,0.8181818181818182
Q007,baseline_debug_depth2_nodes800,stable_type_high,20,0.8,0.8888888888888888
Q008,baseline_debug_depth2_nodes800,stable_type_high,20,0.9,0.9
Q009,baseline_debug_depth2_nodes800,stable_type_high,20,0.9,1.0
Q010,baseline_debug_depth2_nodes800,stable_type_high,20,0.85,0.8095238095238095
Q001,baseline_debug_nodes800,stable_baseline,20,0.9,1.0
Q002,baseline_debug_nodes800,stable_baseline,20,0.9,1.0
Q003,baseline_debug_nodes800,stable_baseline,20,0.95,1.0
Q004,baseline_debug_nodes800,stable_baseline,20,1.0,1.0
Q005,baseline_debug_nodes800,stable_baseline,20,1.0,1.0
Q006,baseline_debug_nodes800,stable_baseline,20,1.0,1.0
