qid,baseline,run,k,overlap_at_k,jaccard_at_k,intersect_size,union_size,baseline_len,run_len
Q007,stable_baseline,stable_no_dist,20,0.7,0.7,14,20,27,28
Q008,stable_baseline,stable_no_dist,20,0.7,0.5833333333333334,14,24,27,29
Q009,stable_baseline,stable_no_dist,20,0.75,0.7142857142857143,15,21,29,30
Q010,stable_baseline,stable_no_dist,20,0.6,0.48,12,25,25,26
Q001,stable_baseline,stable_no_level,20,0.9,1.0,18,18,26,26
Q002,stable_baseline,stable_no_level,20,0.85,0.8947368421052632,17,19,25,25
Q003,stable_baseline,stable_no_level,20,0.95,1.0,19,19,28,28
Q004,stable_baseline,stable_no_level,20,0.95,0.9047619047619048,19,21,24,24
Q005,stable_baseline,stable_no_level,20,0.95,0.9047619047619048,19,21,24,24
Q006,stable_baseline,stable_no_level,20,1.0,1.0,20,20,24,24
Q007,stable_baseline,stable_no_level,20,0.8,0.8888888888888888,16,18,27,28
Q008,stable_baseline,stable_no_level,20,0.95,1.0,19,19,27,27
Q009,stable_baseline,stable_no_level,20,0.85,0.8947368421052632,17,19,29,29
Q010,stable_baseline,stable_no_level,20,0.95,1.0,19,19,25,25
Q001,stable_baseline,stable_no_links,20,0.9,1.0,18,18,26,26
Q002,stable_baseline,stable_no_links,20,0.9,1.0,18,18,25,25
Q003,stable_baseline,stable_no_links,20,0.95,1.0,19,19,28,28
Q004,stable_baseline,stable_no_links,20,1.0,1.0,20,20,24,24
Q005,stable_baseline,stable_no_links,20,1.0,1.0,20,20,24,24
Q006,stable_baseline,stable_no_links,20,1.0,1.0,20,20,24,24
Q007,stable_baseline,stable_no_links,20,0.85,1.0,17,17,27,27
Q008,stable_baseline,stable_no_links,20,0.95,1.0,19,19,27,27
Q009,stable_baseline,stable_no_links,20,0.9,1.0,18,18,29,29
Q010,stable_baseline,stable_no_links,20,0.95,1.0,19,19,25,25
Q001,stable_baseline,stable_no_type,20,0.65,0.5652173913043478,13,23,26,25
Q002,stable_baseline,stable_no_type,20,0.75,0.7142857142857143,15,21,25,24
Q003,stable_baseline,stable_no_type,20,0.8,0.7272727272727273,16,22,28,29
Q004,stable_baseline,stable_no_type,20,1.0,1.0,20,20,24,24
Q005,stable_baseline,stable_no_type,20,0.9,0.8181818181818182,18,22,24,23
Q006,stable_baseline,stable_no_type,20,0.95,0.9047619047619048,19,21,24,24
Q007,stable_baseline,stable_no_type,20,0.8,0.8888888888888888,16,18,27,27
Q008,stable_baseline,stable_no_type,20,0.75,0.6521739130434783,15,23,27,26
Q009,stable_baseline,stable_no_type,20,0.8,0.8,16,20,29,30
Q010,stable_baseline,stable_no_type,20,0.8,0.7272727272727273,16,22,25,25
Q001,stable_baseline,stable_tau_child_high,20,0.9,1.0,18,18,26,26
Q002,stable_baseline,stable_tau_child_high,20,0.9,1.0,18,18,25,25
Q003,stable_baseline,stable_tau_child_high,20,0.95,1.0,19,19,28,28
Q004,stable_baseline,stable_tau_child_high,20,0.55,0.3793103448275862,11,29,24,22
Q005,stable_baseline,stable_tau_child_high,20,0.55,0.3793103448275862,11,29,24,23
Q006,stable_baseline,stable_tau_child_high,20,1.0,1.0,20,20,24,24
Q007,stable_baseline,stable_tau_child_high,20,0.85,1.0,17,17,27,27
Q008,stable_baseline,stable_tau_child_high,20,0.95,1.0,19,19,27,27
Q009,stable_baseline,stable_tau_child_high,20,0.9,1.0,18,18,29,29
Q010,stable_baseline,stable_tau_child_high,20,0.95,1.0,19,19,25,25
Q001,stable_baseline,stable_tau_child_low,20,0.9,1.0,18,18,26,26
Q002,stable_baseline,stable_tau_child_low,20,0.9,1.0,18,18,25,25
Q003,stable_baseline,stable_tau_child_low,20,0.95,1.0,19,19,28,28
Q004,stable_baseline,stable_tau_child_low,20,1.0,1.0,20,20,24,24
